LIMIT_BAL,SEX,EDUCATION,MARRIAGE,AGE,PAY_1,PAY_2,PAY_3,PAY_4,PAY_5,PAY_6,BILL_AMT1,BILL_AMT2,BILL_AMT3,BILL_AMT4,BILL_AMT5,BILL_AMT6,PAY_AMT1,PAY_AMT2,PAY_AMT3,PAY_AMT4,PAY_AMT5,PAY_AMT6
80000,1,6,1,41,0,0,0,0,0,-1,165578,153033,133017,19164,3272,11766,4351,3520,1000,3272,11766,1740
50000,1,1,2,35,0,0,0,0,0,0,48264,19142,18188,18397,18161,18383,1565,7240,795,1000,673,647
80000,2,1,1,42,2,2,2,2,2,2,18378,19377,20471,20638,21003,20529,1600,1700,800,1000,0,2000
160000,2,2,2,27,0,0,0,0,0,0,100613,78592,80240,39835,41150,0,3600,3700,1700,2000,0,0
30000,1,1,1,30,0,0,0,0,0,0,10024,12855,14634,16378,16961,19669,3000,2000,2000,1000,3000,1000
50000,1,1,2,57,0,0,0,0,0,0,50698,51030,49984,20155,19959,20194,2100,1320,704,716,733,702
30000,1,2,2,24,-1,-1,-1,0,0,-2,390,390,780,780,0,0,390,780,0,0,0,0
50000,1,1,2,24,0,0,0,0,0,0,20472,19077,20094,19559,16795,17233,1700,1641,1600,600,1000,1300
50000,2,1,2,26,-1,-1,-2,-2,-1,0,5052,0,0,0,4400,9318,0,0,0,4400,5000,7000
300000,2,1,1,39,-1,-1,-1,-2,-1,-1,1134,611,0,0,706,0,613,0,0,706,0,0
60000,2,2,2,25,0,0,0,0,0,0,36081,37194,38116,39902,58737,56902,2500,2000,3000,20000,3000,2000
80000,1,3,2,46,2,0,0,0,0,0,77142,78255,79425,70583,48308,46049,3000,3055,3047,1663,1692,1618
430000,1,2,1,32,1,-1,-1,-2,-2,-2,0,2500,0,0,0,0,2500,0,0,0,0,0
130000,2,2,1,35,0,0,0,0,0,0,63281,56889,60955,62038,62393,65439,10000,5000,2142,5000,4000,9500
50000,1,3,2,30,0,0,0,0,0,0,43702,44979,46755,47412,47703,49495,2000,2501,2000,2000,2500,2000
100000,2,2,2,41,0,0,0,0,0,0,98075,96813,85590,79747,70468,63235,3600,3289,2632,2449,2300,2539
70000,2,1,2,29,0,0,0,0,0,0,66648,66638,57404,33045,30137,21832,3000,5137,968,2500,6000,5000
50000,1,3,2,31,-1,-1,-1,-2,-2,-2,44461,8635,-2550,-3300,-3300,-3300,1000,0,0,0,0,0
50000,1,2,2,27,2,0,0,0,0,2,41932,38411,30659,30963,30505,28696,1600,1712,1016,2500,0,2848
240000,1,2,1,50,-1,-1,-1,-1,-1,-1,419,419,419,419,419,419,419,419,419,419,419,419
30000,2,2,1,35,0,0,0,0,0,0,25078,25538,25880,25873,26157,26918,1500,1387,893,1000,1501,2000
180000,1,1,2,34,-1,-1,-1,-1,-1,-1,4400,2990,3762,5231,2092,3395,3018,3772,5254,2098,3403,215
80000,2,2,1,51,1,2,2,2,2,2,15839,16591,16027,17160,16743,17961,1300,0,1400,0,1500,800
20000,2,2,2,23,0,0,0,0,0,0,19242,15014,13484,7612,8612,5007,1500,1535,1000,1000,1000,0
50000,1,2,2,29,3,2,2,0,0,0,49747,51075,43662,18115,17300,17947,2500,14,2000,1000,1500,1500
120000,1,1,2,38,1,-2,-2,-2,-2,-2,-284,-610,-936,-1262,-1588,-1914,0,0,0,0,0,0
20000,2,2,1,34,2,2,2,0,0,0,17151,16887,17302,18029,18362,18669,300,1000,1000,1000,1000,1000
60000,1,1,2,25,0,0,0,0,0,0,24200,34708,25326,27914,30476,31982,11000,2000,3000,3000,2000,2000
40000,2,2,1,44,-1,-1,-1,-1,-1,-1,11770,4719,922,4665,4059,5588,4740,922,4665,4059,5588,7000
30000,2,2,2,23,1,2,2,2,2,2,11174,11989,12997,12491,13374,13017,1300,1500,0,1090,0,2000
360000,1,1,1,40,-2,-2,-2,-2,-2,-1,1126,3449,3168,1469,1833,1449,3455,3168,1469,1833,1449,0
30000,1,3,2,29,0,0,0,0,0,0,27904,28547,29398,29864,30115,15818,1500,1700,1500,1010,1000,1000
150000,1,1,2,33,0,0,0,0,0,0,27221,27897,25304,21894,18452,28191,5000,1715,1200,625,10000,1000
110000,2,1,2,32,1,-1,0,0,0,-2,0,1670,11693,7903,-18,-18,1670,10200,0,0,0,0
80000,2,2,2,23,2,3,2,2,0,0,84176,81516,80146,61392,60325,60469,0,2000,0,3091,2400,2000
70000,1,2,1,24,0,0,0,0,0,0,49169,48960,49864,48481,46946,47958,1840,1744,2001,2000,1800,1706
450000,2,1,2,32,1,-1,0,0,-2,-1,0,1042,4064,-8,-8,402,1042,3057,0,0,410,0
20000,1,5,1,28,0,0,0,-2,-2,-2,9278,10400,0,0,0,0,1400,0,0,0,0,0
20000,1,2,2,26,0,0,2,2,0,0,15481,18004,19121,18521,18615,19015,3100,1700,0,700,700,860
290000,2,2,1,37,0,0,0,0,-1,0,48978,58858,36129,20369,29521,59219,20078,5017,509,29526,35000,93600
200000,1,1,2,38,-2,-2,-2,-2,-2,-2,3388,-12,1081,1884,2089,7097,0,1093,1893,2097,7132,488
210000,2,1,1,41,1,-2,-1,-1,-2,-1,-28,-28,3330,0,0,300,0,3358,0,0,300,0
100000,1,2,1,47,0,0,0,0,0,0,72703,74147,76305,77855,78961,80452,2653,3352,3413,3000,2919,2944
200000,1,1,2,30,-1,-1,-2,-1,0,0,8985,247,6015,34314,23403,-1839,805,6144,34418,230,1839,0
10000,1,3,2,48,0,0,0,0,0,0,8858,9548,9540,9735,8070,0,1228,1000,195,161,0,0
80000,2,2,1,30,-1,-1,-1,-2,-1,-1,36968,390,0,0,19688,5800,390,0,0,19688,5800,0
150000,2,1,2,26,-1,-1,-1,0,-1,0,38052,0,18600,18400,1527,1527,0,18600,0,1527,0,0
200000,2,1,1,44,-1,-1,-2,-2,-2,-1,65520,0,0,0,0,17480,0,0,0,0,17480,76220
280000,1,2,1,49,0,0,0,0,0,0,236168,242865,243515,215853,189911,161830,11000,10500,8010,7000,6000,4600
270000,2,1,2,32,2,2,2,0,0,0,9220,14050,13539,15005,16438,17021,5000,0,2000,2000,1000,1000
210000,2,1,2,27,0,0,0,0,0,-1,99050,17924,19123,20650,0,1136,1301,1500,2000,0,1136,67412
150000,2,2,2,23,-1,-1,-1,0,0,0,330,330,63917,59865,59258,57924,330,63917,2100,2100,2200,2200
210000,1,2,2,52,-2,-2,-2,-2,-2,-1,5649,5398,435,18950,6804,59999,5425,437,19053,6838,59999,214
50000,1,2,2,48,0,0,0,0,2,0,4975,6878,8106,9962,9656,11328,2000,1500,2000,0,2000,1000
180000,2,2,1,35,-1,-1,0,0,0,0,1175,5317,8388,8529,7739,3803,5317,3200,2700,2000,76,0
100000,1,2,1,24,2,2,2,2,2,2,10618,13233,13427,13609,14683,15001,2800,700,700,1300,700,700
160000,2,2,2,37,2,2,2,2,2,2,147333,143786,151842,147962,156921,159416,200,12000,0,11500,5811,0
280000,2,1,2,26,0,0,0,0,0,0,36395,35945,36381,36594,37010,36334,1700,1600,1300,1500,2000,99334
420000,1,2,1,41,0,0,0,0,0,0,193370,198053,202618,197985,200163,2559,4988,4976,6019,5065,1035,182778
210000,2,1,2,29,1,-2,-2,-2,-2,-2,0,0,0,0,0,0,0,0,0,0,0,0
440000,2,1,2,30,-1,-1,-1,0,0,0,777,612,87426,171244,150897,117870,612,87426,130007,3018,15000,51663
430000,1,1,1,40,-1,-1,-1,-1,-1,-1,6112,10548,31401,417588,3414,4761,10590,31448,417588,3414,4761,15331
430000,2,1,1,43,-1,-1,-1,-1,-1,-1,20849,3662,7719,4437,2912,6368,3814,7759,4451,2915,6383,9025
240000,2,1,2,38,0,0,0,0,0,0,167856,172145,178840,186168,166745,165582,7000,10000,10000,10000,5000,10000
310000,1,1,1,29,1,2,0,0,0,0,191457,187341,70359,77884,87484,89633,651,15000,10000,10200,2149,299
50000,2,1,2,29,0,0,0,0,0,0,8838,7662,40125,37552,22960,14735,6540,37130,2858,3000,1000,5000
50000,2,2,1,24,0,0,0,0,0,2,46485,34462,26809,27809,29705,26856,1523,1609,1500,2305,0,1701
280000,2,6,3,38,0,0,0,-1,-1,-1,286469,293875,296257,232,-94,143864,8024,8034,232,94,145935,5000
130000,2,1,2,23,-1,-1,-1,-1,-1,0,4459,13453,3656,5008,13734,14976,13485,3656,5024,13734,3000,822
260000,2,1,2,28,0,0,0,0,0,0,39105,45868,44567,37437,41321,43970,8000,8000,9000,13000,12000,10000
300000,2,2,1,34,0,0,0,0,0,0,86116,83724,80721,79939,58586,14570,3894,2783,3575,1605,1520,0
240000,1,1,1,29,-1,-1,-1,-2,-1,-1,17882,367,-4661,-23,4638,2500,403,4838,4638,4661,2500,0
10000,1,3,2,41,2,2,2,0,0,2,3983,4764,5528,7420,8298,8019,1000,1000,2000,1000,0,1390
50000,2,2,2,23,0,0,0,0,0,0,34997,36030,36740,37469,38254,39014,1900,1610,1339,1387,1395,1452
80000,2,2,1,29,0,0,0,0,0,0,63899,62048,49814,45292,43190,39457,2500,2500,2010,2000,2000,2000
100000,2,2,2,26,-1,0,0,0,0,0,53743,52320,46686,44497,44674,42653,3000,2500,3000,2000,5000,2600
140000,2,2,1,29,0,0,0,0,0,0,81764,92071,43777,22806,12643,29707,20167,5000,28800,2000,20007,10009
30000,2,2,2,28,0,0,0,0,0,3,15280,16230,17153,17351,19509,18900,1500,1500,780,2600,0,900
500000,1,1,1,44,-1,-1,-1,-1,0,-1,100862,367,15272,12925,75667,67609,367,16652,76146,67697,67609,71946
360000,2,2,1,39,1,-1,-1,-1,-1,-1,0,791,173,1640,287,2418,791,173,1640,287,2426,507
80000,2,2,2,25,1,2,0,0,2,0,31040,30259,31712,33734,29822,30966,0,2000,2444,0,3000,1000
210000,2,3,2,30,-1,-1,-1,-1,-1,-1,1661,5793,1181,1031,1430,1031,5793,1181,1031,1430,1031,1031
580000,1,1,2,32,-1,0,0,0,0,0,49193,46367,38111,33497,26800,22202,11686,8348,6593,7197,10097,133081
60000,2,3,1,38,0,0,0,0,-1,-1,26583,24825,23027,12947,390,700,1864,1206,259,390,700,13628
50000,1,2,1,31,0,0,0,2,2,2,42159,43172,46450,45402,48677,47740,2000,4000,0,4000,0,2300
260000,2,1,1,31,0,0,0,0,0,0,50312,128072,55359,39189,49909,20782,85387,33061,5039,20154,2854,29
20000,1,2,2,27,0,0,-1,-1,0,0,7320,7761,631,4481,6481,3465,2000,631,4481,2000,300,3332
100000,2,2,1,49,1,-2,-2,-2,-2,-2,0,0,0,0,0,0,0,0,0,0,0,0
60000,1,2,1,33,-1,0,0,0,0,0,4843,8790,12420,14731,21508,7695,5000,5000,4000,4000,3500,3000
40000,2,1,2,27,1,-1,-1,-2,-1,-1,0,450,0,0,247,0,450,0,0,247,0,0
200000,2,1,1,43,0,0,0,0,0,0,200898,197438,200912,145658,146351,149667,10000,9000,6000,6000,6000,6000
50000,2,3,2,22,0,0,0,0,0,0,47066,45132,47756,28275,28082,28846,2300,3862,2000,1100,1500,1100
140000,2,3,1,39,0,0,0,0,0,0,127896,131764,134654,138303,119845,122457,7500,6500,7500,5000,4700,5228
230000,2,1,2,27,0,0,0,0,0,0,92167,92799,94328,96203,98474,98835,3340,3401,3420,3797,3476,2818
140000,2,1,2,28,0,0,2,0,0,0,9305,13614,13103,14077,15189,16275,4800,0,1500,1500,1500,1500
290000,1,2,2,28,0,0,0,0,0,0,240745,216678,205930,209010,213471,217561,9323,9000,8000,8000,7800,8238
50000,1,3,2,26,0,0,0,0,0,-1,24132,20109,19932,19762,10708,20148,1902,1200,30,1031,20201,605
70000,2,1,1,29,0,0,0,0,0,0,68494,68532,69475,69582,69589,68728,3200,3300,3100,2800,2600,2940
70000,2,2,1,44,0,0,0,0,0,0,34135,27683,28311,24094,21317,9736,2020,5000,3011,1500,1000,1000
80000,1,1,2,24,0,0,0,0,0,0,50781,29297,78589,78806,50663,50214,4400,50000,3034,1800,1817,1750
220000,1,1,2,31,-1,-1,-1,-1,-1,-1,7521,4023,5878,6452,5157,4159,4028,5892,6463,5163,4169,3733
180000,2,2,1,30,0,0,0,0,-1,-1,39259,41054,25590,5817,13623,-2202,3000,6000,1000,13623,388,77001
20000,2,2,1,23,0,0,0,0,0,0,18774,18608,18312,18474,18074,19618,1700,1577,2000,808,2000,2000
110000,2,2,1,28,0,0,0,0,0,2,66831,62435,59977,59411,55112,45025,3021,2800,2710,5227,0,1900
190000,2,3,2,24,0,0,0,0,-1,0,54186,55466,57358,10890,287,49983,2000,2700,1100,287,49696,2000
170000,2,1,2,26,-1,-1,-1,-1,-1,-1,3732,3732,3732,3732,4239,3910,3732,3732,3732,4239,3910,4146
300000,2,4,1,31,-2,-2,-2,-2,-2,-2,0,0,0,0,0,0,0,0,0,0,0,0
150000,2,3,1,40,0,0,0,0,0,0,56690,58775,62769,64233,65704,69835,3606,5600,2500,2500,5400,2600
80000,1,1,1,46,0,0,0,0,0,0,48967,49850,50767,45721,49006,56275,2000,1771,1715,4000,8697,0
360000,2,2,1,33,0,0,0,0,0,0,325839,300726,252603,253759,255424,253826,11083,8948,8727,9118,9026,8997
200000,2,1,2,44,0,0,0,0,0,-1,34606,34800,33275,33435,32778,3277,2100,2000,3435,3000,3277,29928
70000,2,3,2,25,0,0,0,0,2,0,68658,68618,61208,50111,49207,50524,4500,2783,25000,0,3000,6000
70000,2,3,1,42,0,0,0,0,0,0,6489,9372,11179,8688,8295,10147,3000,2000,295,1000,2000,1000
230000,2,2,2,37,-2,-2,-2,-2,-2,-2,0,0,0,0,0,0,0,0,0,0,0,0
500000,2,2,2,43,-1,-1,-2,-1,-1,-1,374776,26890,12866,162415,122430,188547,27024,12930,162434,123042,188715,200284
180000,2,1,1,27,2,2,2,2,2,0,81044,78403,58083,58244,56041,50816,2600,0,4700,0,2500,1092
50000,1,2,1,36,1,-2,-2,-2,-2,-1,0,0,0,0,0,2949,0,0,0,0,2322,0
180000,1,2,1,53,-1,-1,-1,-1,-1,-1,316,316,316,316,316,316,316,316,316,316,316,466
50000,2,3,3,46,0,0,0,0,0,0,44835,45989,47167,25142,4716,4840,1900,2050,2000,300,200,500
20000,1,2,2,50,0,0,2,0,0,0,8639,10483,11016,12027,12030,12535,2000,1000,1500,500,700,700
220000,2,2,1,45,1,-1,0,-1,0,-1,0,6010,7069,43957,30693,13264,6010,1229,43957,614,13264,700
130000,1,2,2,28,0,0,0,0,0,0,113613,112867,92617,94896,92347,94323,5847,3413,3872,3465,3627,5000
200000,2,1,2,27,0,0,0,0,0,0,9314,6020,4817,2098,2280,4778,2020,2817,1098,1280,3778,3098
400000,2,2,2,41,-2,-2,-2,-2,-2,-2,43672,678,330,330,330,330,678,330,330,330,330,330
30000,2,2,1,23,0,0,0,0,0,0,27222,27630,28618,28833,9895,12155,1450,1638,1053,2000,5155,4145
500000,1,1,2,51,0,0,0,0,0,0,79461,75952,77726,79494,83150,85805,3000,3000,4000,5000,4000,4000
40000,1,1,2,24,0,0,0,0,0,0,39868,25714,17351,21567,18388,18353,1259,1700,6000,800,800,800
130000,1,2,2,29,-1,-1,-1,-1,-1,-1,3920,3848,942,942,768,-174,4000,942,942,768,0,0
50000,1,2,1,40,0,0,0,0,0,0,50066,47636,9762,8620,9303,8693,1450,1500,400,1000,1000,2000
290000,2,3,2,32,0,0,0,0,0,0,21981,24610,27009,26671,24826,22287,3000,3000,3000,3000,3000,3000
120000,2,2,1,23,0,0,0,0,0,0,64049,65984,66825,68820,69776,71297,3000,2500,3100,2700,2800,2800
340000,2,2,2,39,0,0,0,0,0,0,308286,315601,318616,243586,248766,254056,13775,10631,8900,9200,9525,8600
330000,1,1,2,45,0,0,0,0,0,0,265362,246735,248541,231534,230309,235992,7500,8001,7000,7000,8000,8000
380000,1,2,2,32,-1,-1,-1,-1,-1,-1,22401,21540,15134,32018,11849,11873,21540,15138,24677,11851,11875,8251
60000,1,3,2,43,0,0,0,0,0,0,55800,53216,43077,36197,34283,20395,1782,1850,1318,5822,794,2000
20000,2,1,2,22,0,-1,-1,0,-1,-1,18479,2005,7839,5386,10690,3413,2022,15210,1000,10690,3413,390
60000,2,3,1,36,1,2,2,2,0,0,57285,61118,61947,60353,4980,2160,5336,2550,16,0,0,0
50000,2,3,1,70,2,2,0,0,0,0,54084,51564,50733,30363,30444,30482,0,2504,1200,1500,1100,1301
500000,1,1,2,42,2,0,0,0,0,0,419352,428101,436809,443840,452841,468305,17008,17326,16101,16634,23501,20623
50000,1,2,2,42,0,0,0,0,0,0,39236,39729,27068,28604,28199,58428,2094,1451,1987,1039,1500,1200
60000,1,2,2,24,2,0,0,0,0,0,27019,25100,21023,16973,12410,11944,1686,2000,1000,1000,6000,5000
100000,1,1,2,32,0,0,0,0,2,0,99573,159480,56267,11788,11400,11419,2787,1353,1739,0,1000,1147
10000,1,2,2,35,1,6,5,4,3,2,8257,8001,7741,7481,7075,6815,0,0,0,0,0,700
500000,2,2,1,43,-2,-2,-2,-2,-2,-2,10330,12320,12209,16727,17738,14117,12320,12209,16727,17744,14117,11691
150000,1,1,2,34,0,0,0,0,0,0,56142,60855,53256,60945,60720,57407,10115,15010,10015,3022,1522,2013
20000,1,2,2,24,8,7,6,5,4,3,24348,24025,23391,22757,21834,21200,0,0,0,0,0,0
110000,2,3,1,43,0,0,0,0,0,0,48796,49371,19413,20204,16627,14980,2350,1392,1183,511,1151,482
240000,2,2,1,35,-2,-2,-2,-2,-2,-2,5391,7375,4908,5638,2582,4127,7375,4908,5638,2587,4127,4942
100000,1,2,1,50,0,0,0,0,0,0,101430,87429,108011,104261,102451,99947,5001,64401,4000,4500,4200,3200
500000,2,3,1,38,-2,-2,-2,-2,-2,-2,13655,8351,2340,2340,11435,189,8351,2340,2340,11435,189,5391
230000,2,1,2,26,-2,-1,2,-1,0,-1,-10,1732,476,3157,340,769,2122,0,3157,0,769,1265
140000,2,2,1,40,0,0,0,0,0,0,102502,101164,99579,99004,88485,85218,5000,5000,5000,3000,3000,4000
500000,2,4,2,38,-2,-2,-2,-2,-2,-2,2252,2265,24667,40626,9255,8659,2265,24905,40827,30844,8695,3532
170000,1,1,1,41,-1,-1,-1,0,0,-1,10540,0,9871,9739,66,230,0,9871,0,0,230,23709
230000,2,2,2,29,0,0,0,0,0,0,157107,119402,78875,76117,75428,150130,6000,3020,3000,2500,80000,5000
230000,2,2,1,43,-1,-1,-1,-1,-1,-1,3451,5560,1180,8563,5180,2524,5587,1186,8605,5201,2532,4759
100000,2,3,1,39,0,0,0,0,0,0,39667,40704,41718,41536,42243,42929,1649,1663,1471,1360,1212,4472
90000,1,2,2,29,0,0,0,0,0,0,86294,88412,89853,69362,70537,56775,4400,4111,2100,2200,2510,2000
30000,1,3,1,47,0,0,2,0,0,-2,27609,30791,29913,30461,0,0,3630,0,1300,0,0,0
360000,1,2,1,46,-2,-2,-2,-2,-2,-2,8746,3093,1935,1205,1320,1068,3108,1952,1219,1326,1073,191
20000,2,3,2,50,0,0,0,0,0,0,16350,17382,18488,19179,19720,19822,1300,1400,1000,1000,626,300
290000,2,2,1,31,0,0,0,0,0,0,284583,274119,275169,189354,193163,197303,10000,10490,6620,6700,7000,7150
340000,2,1,2,29,-1,-1,-1,2,0,0,2688,11432,12411,9119,29280,23093,11486,12824,10,29047,6153,3523
20000,1,3,2,51,0,0,0,0,-1,-1,9953,13989,14953,14710,900,0,5000,1275,2704,3200,0,0
80000,2,2,1,34,0,0,0,0,-2,-2,49005,49551,45930,0,0,0,2141,2150,0,0,0,0
100000,1,1,2,36,0,0,0,-1,-1,2,15585,12430,8186,1127,10880,10143,5000,5000,1127,10143,0,7000
30000,2,3,1,53,0,0,0,0,0,0,8615,9960,11492,12391,12891,9069,1500,1700,1500,500,1000,0
500000,1,2,1,33,0,0,0,0,0,-1,26597,16573,19080,13860,15904,134584,3357,3010,2000,2044,131438,4504
90000,1,2,1,40,0,0,0,-1,-1,-1,42856,44925,0,787,1457,0,3114,0,787,1457,0,0
170000,1,1,1,38,1,-2,-2,-2,-2,-2,0,0,0,0,0,0,0,0,0,0,0,0
500000,1,2,1,39,0,0,0,0,0,0,342548,290244,250186,276579,239874,226502,8628,6242,231888,7945,7840,6966
200000,2,1,1,41,-1,-1,-1,-1,-1,-1,4533,8756,3539,5529,10332,6894,8756,3539,5529,10332,6894,3188
360000,2,1,1,31,-2,-1,-1,-2,-2,-2,-4,434,0,0,0,0,438,0,0,0,0,0
200000,1,2,2,25,2,2,2,2,2,2,147660,148603,143647,152605,155981,158508,5500,0,12000,8000,5800,80
300000,2,3,1,40,-2,-2,-2,-2,-2,-2,0,0,0,0,0,0,0,0,0,0,0,0
50000,2,2,1,34,0,0,0,0,0,0,5745,4266,3047,3606,2390,1655,1023,1051,1000,50,10050,734
100000,2,3,1,30,1,2,2,0,0,0,46809,47121,45239,44712,43654,44678,2000,0,1900,1600,3200,0
50000,2,2,2,25,1,-1,-1,-1,-1,-1,0,870,590,3700,1999,7300,870,590,3700,1999,7300,17120
130000,2,2,1,48,-2,-2,-2,-2,-2,-2,0,1240,1487,1279,749,440,1240,1487,1279,749,440,849
200000,2,2,1,31,-1,-1,-1,-1,-1,-1,1319,4997,3635,130,1209,938,4997,3650,130,1209,938,105
130000,1,2,2,30,0,0,0,0,0,2,131801,129141,132221,131743,131986,131430,4800,5250,5050,5700,5100,5012
50000,2,2,1,38,-1,-1,-1,-1,-1,-1,588,588,588,926,643,643,588,588,926,643,643,643
170000,2,1,2,31,1,-1,-1,-2,-2,-1,0,843,0,0,0,1880,843,0,0,0,1880,456
90000,1,2,1,39,0,0,0,0,0,0,88081,83960,84963,56089,57355,58394,3244,2600,2037,2200,2110,7000
360000,2,1,1,41,0,0,0,0,0,0,250180,141206,64277,32727,13004,0,4428,2017,305,1240,0,0
180000,2,2,1,36,-1,-1,-2,-1,-1,-1,682,0,0,1012,0,669,0,0,1012,0,669,0
80000,2,3,1,25,0,-1,-1,-1,-1,-1,3525,1504,0,2332,4320,0,1654,0,2332,4320,0,0
70000,2,2,2,22,0,0,0,0,0,0,53399,49108,49674,44568,31156,30954,1841,2243,1467,1076,1096,1494
500000,1,1,2,31,0,0,-1,0,0,0,239824,226716,115610,89359,63609,123128,5614,118640,5841,6000,100000,5000
40000,1,1,2,26,0,0,2,2,2,0,39723,12302,9369,22949,11188,13306,10000,92,15000,0,3000,4000
80000,1,1,2,35,0,0,0,0,0,0,52132,52568,54108,55310,48198,43536,3000,3000,3000,2000,2000,2000
210000,2,1,2,44,0,0,0,0,0,0,125615,77485,79668,92326,30500,25265,5000,4000,3402,2013,1026,1000
50000,2,1,2,29,2,0,0,0,0,0,45367,46815,10099,8686,8614,6977,2335,1629,500,500,1000,1000
30000,2,1,2,24,2,2,0,0,0,0,23905,23244,23578,25871,26143,26724,0,2000,3000,1000,1000,3500
100000,2,2,2,29,-2,-1,0,0,0,0,75912,85276,88498,90289,92485,95630,10000,4000,2600,3000,4000,5000
60000,1,2,1,37,3,4,3,2,2,2,30381,29986,29210,29729,30505,32232,366,0,1300,1400,2400,2300
